Batch,Sample,Test
1,1,40
1,1,39
1,2,30
1,2,30
2,3,26
2,3,28
2,4,25
2,4,26
3,5,29
3,5,28
3,6,14
3,6,15
4,7,30
4,7,31
4,8,24
4,8,24
5,9,19
5,9,20
5,10,17
5,10,17
6,11,33
6,11,32
6,12,26
6,12,24
7,13,23
7,13,24
7,14,32
7,14,33
8,15,34
8,15,34
8,16,29
8,16,29
9,17,27
9,17,27
9,18,31
9,18,31
10,19,13
10,19,16
10,20,27
10,20,24
11,21,25
11,21,23
11,22,25
11,22,27
12,23,29
12,23,29
12,24,31
12,24,32
13,25,19
13,25,20
13,26,29
13,26,30
14,27,23
14,27,23
14,28,25
14,28,25
15,29,39
15,29,37
15,30,26
15,30,28
